Country,Currency,Location,Breakfast,Lunch,Dinner,Total Meals,Incidental Amount,GRAND TOTAL (taxes included)
Afghanistan – Currency: US dollar (USD),,Other,*,*,*,*,17.50 CAD,*
Albania,Euro (EUR),Tirana,*,10.45,15.5,25.95,10.38,36.33
Albania,Euro (EUR),Other,*,8.36,12.4,20.76,8.3,29.06
Algeria,Canadian dollar (CAD),Algiers,36.7,40.75,54.45,131.9,42.21,174.11
Algeria,Canadian dollar (CAD),Other,29.36,32.6,43.56,105.52,33.77,139.29
Andorra,Euro (EUR). Note: One rate for country,Andorra la Vella,*,*,*,*,17.50 CAD,*
Angola,Canadian dollar (CAD),Luanda,*,111.35,131.75,243.1,97.24,340.34
Angola,Canadian dollar (CAD),Other,*,89.08,105.4,194.48,77.79,272.27
Anguilla – Currency: US dollar (USD). Note: One rate for country,,The Valley,19.2,45.2,67.75,132.15,42.29,174.44
Antarctica,Canadian dollar (CAD). Note: One rate for country,Antarctica,*,*,*,*,17.50 CAD,*
Antigua and Barbuda – Currency: US dollar (USD). Note: One rate for country,,St. John's,27.15,60.6,83.8,171.55,54.9,226.45
Argentina,Argentina peso (ARS),Buenos Aires,413,584,799,"1,796.00",574.72,"2,370.72"
Argentina,Argentina peso (ARS),Other,330.4,467.2,639.2,"1,436.80",459.78,"1,896.58"
Armenia – Currency: US dollar (USD). Note: One rate for country,,Yerevan,15.95,20.1,26.45,62.5,20,82.5
Aruba (Kingdom of the Netherlands) – Currency: US dollar (USD),,Oranjestad,20.35,36.85,50.15,107.35,34.35,141.7
Australia,Australian dollar (AUD),Adelaide,32.15,55.75,79.15,167.05,53.46,220.51
Australia,Australian dollar (AUD),Brisbane,34.5,60,88.15,182.65,58.45,241.1
Australia,Australian dollar (AUD),Canberra,28.6,55.4,69.55,153.55,49.14,202.69
Australia,Australian dollar (AUD),Hobart,27,54,74.25,155.25,49.68,204.93
Australia,Australian dollar (AUD),Melbourne,32,61.15,85.65,178.8,57.22,236.02
Australia,Australian dollar (AUD),Perth,33.25,59.7,82.1,175.05,56.02,231.07
Australia,Australian dollar (AUD),Sydney,35,66.45,90.8,192.25,61.52,253.77
