Country,Currency,Location,First 60 Days US$,First 60 Days Local,>60 Days Local,Room as % of DSA,Effective Date d/mm/y,Survey Date d/mm/y,Notes
Afghanistan,Afghani,Kabul,162,"11,700","11,700",70,01/08/18,01/04/17,
Afghanistan,Afghani,Kabul (Kabul Serena),290,"20,900","20,900",69,01/08/18,01/04/17,1
Afghanistan,Afghani,Elsewhere,96,"6,920","6,920",70,01/08/18,01/04/17,
Albania,Albania Lek(e),Tirana,147,"15,400","11,500",66,01/08/18,01/07/17,
Albania,Albania Lek(e),Tirana (Rogner),165,"17,300","13,000",69,01/08/18,01/07/17,1
Albania,Albania Lek(e),Tirana (Sheraton),193,"20,200","15,200",54,01/08/18,01/07/17,1
Albania,Albania Lek(e),"Durres (Adriatic, Hotel Palace)",200,"21,000","15,700",68,01/08/18,01/07/17,1
Albania,Albania Lek(e),Korca (Life Gallery Hotel),116,"12,200","9,120",60,01/08/18,01/07/17,1
Albania,Albania Lek(e),"Saranda (Butrinti, Demi Hotel)",139,"14,600","10,900",67,01/08/18,01/07/17,1
Albania,Albania Lek(e),Shkodra,133,"13,900","10,500",61,01/08/18,01/07/17,
Albania,Albania Lek(e),Vlore,106,"11,100","8,390",53,01/08/18,01/07/17,
Albania,Albania Lek(e),Elsewhere,78,"8,180","6,190",50,01/08/18,01/07/17,
Algeria,Algerian Dinar,Algiers,258,"30,400","22,800",57,01/08/18,01/04/18,
Algeria,Algerian Dinar,Algiers (El-Aurassi & El-Djazair),311,"36,600","27,500",57,01/08/18,01/04/18,1
Algeria,Algerian Dinar,Algiers (Sheraton),476,"56,100","42,100",68,01/08/18,01/04/18,1
Algeria,Algerian Dinar,Algiers (Sofitel),408,"48,000","36,000",58,01/08/18,01/04/18,1
Algeria,Algerian Dinar,Adrar,171,"20,100","15,100",47,01/08/18,01/04/18,
Algeria,Algerian Dinar,Annaba (Golden Tulip Sabri),195,"23,000","17,300",59,01/08/18,01/04/18,1
Algeria,Algerian Dinar,Annaba (Sheraton),272,"32,000","24,000",57,01/08/18,01/04/18,1
Algeria,Algerian Dinar,Constantine (Marriott),311,"36,600","27,500",63,01/08/18,01/04/18,1
Algeria,Algerian Dinar,Constantine (Novotel),201,"23,700","17,800",59,01/08/18,01/04/18,1
Algeria,Algerian Dinar,Oran,156,"18,400","13,800",50,01/08/18,01/04/18,
Algeria,Algerian Dinar,Oran (Hotel Royal),280,"33,000","24,700",63,01/08/18,01/04/18,1
Algeria,Algerian Dinar,Oran (Le Meridien),230,"27,100","20,300",58,01/08/18,01/04/18,1
Algeria,Algerian Dinar,Oran (Sheraton),246,"29,000","21,800",55,01/08/18,01/04/18,1
Algeria,Algerian Dinar,Setif (Novotel),217,"25,600","19,200",61,01/08/18,01/04/18,1
Algeria,Algerian Dinar,Tamanrasset,166,"19,500","14,600",51,01/08/18,01/04/18,
Algeria,Algerian Dinar,Tlemcen (Renaissance),259,"30,500","22,900",57,01/08/18,01/04/18,1
Algeria,Algerian Dinar,Elsewhere,110,"12,900","9,680",51,01/08/18,01/04/18,
American Samoa,US Dollar,All Areas,238,238,179,61,01/10/11,01/10/11,
