jurisdiction,slug,country,location,season,total,mealsAndIncidentals
Canada,albania-tirana,Albania,Tirana,,42.381960389999996,NaN
Canada,albania,Albania,Other,,33.90090197999999,NaN
Canada,algeria-algiers,Algeria,Algiers,,134.44360345995062,NaN
Canada,algeria,Algeria,Other,,107.55642712042112,NaN
Canada,angola-luanda,Angola,Luanda,,262.8024582250278,NaN
Canada,angola,Angola,Other,,210.24042222756162,NaN
Canada,anguilla-the-valley,Anguilla,The Valley,,174.44,NaN
Canada,antigua-and-barbuda-st.-john's,Antigua and Barbuda,St. John's,,226.45,NaN
Canada,argentina-buenos-aires,Argentina,Buenos Aires,,95.03023510179705,NaN
Canada,argentina,Argentina,Other,,76.02434842130924,NaN
Canada,armenia-yerevan,Armenia,Yerevan,,82.5,NaN
Canada,aruba-(kingdom-of-the-netherlands)-oranjestad,Aruba (Kingdom of the Netherlands),Oranjestad,,141.7,NaN
Canada,australia-adelaide,Australia,Adelaide,,166.93861061231902,NaN
Canada,australia-brisbane,Australia,Brisbane,,182.52641158509874,NaN
Canada,australia-canberra,Australia,Canberra,,153.44785717205997,NaN
Canada,australia-hobart,Australia,Hobart,,155.1436645629792,NaN
Canada,australia-melbourne,Australia,Melbourne,,178.68056268069267,NaN
Canada,australia-perth,Australia,Perth,,174.9331311695096,NaN
Canada,australia-sydney,Australia,Sydney,,192.1183221399855,NaN
Canada,australia,Australia,Other,,122.7567716239061,NaN
Canada,austria-graz,Austria,Graz,,157.3720467,NaN
Canada,austria-salzburg,Austria,Salzburg,,161.60674299,NaN
Canada,austria-vienna,Austria,Vienna,,187.01492073,NaN
Canada,austria,Austria,Other,,149.61426974999998,NaN
Canada,azerbaijan-baku,Azerbaijan,Baku,,120.25,NaN
Canada,bahamas-nassau,Bahamas,Nassau,,170.08,NaN
Canada,bahrain-manama,Bahrain,Manama,,156.61889282122644,NaN
Canada,bangladesh-dhaka,Bangladesh,Dhaka,,134.88702396933087,NaN
Canada,bangladesh,Bangladesh,Other,,107.90961917546467,NaN
Canada,barbados-bridgetown,Barbados,Bridgetown,,178.2349236081258,NaN
Canada,belarus-minsk,Belarus,Minsk,,89.29843887179489,NaN
Canada,belgium-brussels,Belgium,Brussels,,157.3720467,NaN
Canada,belgium,Belgium,Other,,125.89763735999999,NaN
Canada,belize-belize-city,Belize,Belize City,,105.71603922586624,NaN
Canada,belize,Belize,Other,,84.572831380693,NaN
Canada,benin-cotonou,Benin,Cotonou,,100.3949321194428,NaN
Canada,benin,Benin,Other,,80.31594569555423,NaN
Canada,bermuda-hamilton,Bermuda,Hamilton,,200.57,NaN
Canada,bhutan-thimphu,Bhutan,Thimphu,,125.34615424100443,NaN
Canada,bolivia-la-paz,Bolivia,La Paz,,69.3,NaN
Canada,bolivia-santa-cruz,Bolivia,Santa Cruz,,65.94,NaN
Canada,bolivia,Bolivia,Other,,55.44,NaN
Canada,bonaire-(kingdom-of-the-netherlands)-kralendijk,Bonaire (Kingdom of the Netherlands),Kralendijk,,137.61,NaN
Canada,bosnia-and-herzegovina-sarajevo,Bosnia and Herzegovina,Sarajevo,,63.13547195999999,NaN
Canada,bosnia-and-herzegovina,Bosnia and Herzegovina,Other,,50.51304389999999,NaN
Canada,botswana-gaborone,Botswana,Gaborone,,93.76647399736261,NaN
Canada,botswana,Botswana,Other,,75.01317919789008,NaN
Canada,brazil-brasilia,Brazil,Brasilia,,106.45429133653802,NaN
Canada,brazil-rio-de-janeiro,Brazil,Rio de Janeiro,,135.21624154937533,NaN
Canada,brazil-sao-paulo,Brazil,Sao Paulo,,122.41366614975871,NaN
Canada,brazil,Brazil,Other,,85.16449596465587,NaN
Canada,brunei-darussalam-bandar-seri-begawan,Brunei Darussalam,Bandar Seri Begawan,,76.35663924942635,NaN
Canada,bulgaria-sofia,Bulgaria,Sofia,,87.69204411,NaN
Canada,bulgaria,Bulgaria,Other,,70.15830162,NaN
Canada,burkina-faso-ouagadougou,Burkina Faso,Ouagadougou,,74.44489703359852,NaN
Canada,burkina-faso,Burkina Faso,Other,,59.55591762687881,NaN
Canada,burma-(myanmar)-yangon,Burma (Myanmar),Yangon,,124.28,NaN
Canada,burma-(myanmar),Burma (Myanmar),Other,,99.42,NaN
Canada,burundi-bujumbura,Burundi,Bujumbura,,91.5190119959503,NaN
Canada,burundi,Burundi,Other,,73.21520959676023,NaN
Canada,cambodia-phnom-penh,Cambodia,Phnom Penh,,102.56,NaN
Canada,cambodia,Cambodia,Other,,82.05,NaN
Canada,cameroon-douala,Cameroon,Douala,,127.51917693767822,NaN
Canada,cameroon-yaounde,Cameroon,Yaoundé,,124.1139687137439,NaN
Canada,cameroon,Cameroon,Other,,99.29117497099513,NaN
Canada,cape-verde-praia,Cape Verde,Praia,,58.185265199565784,NaN
Canada,cape-verde,Cape Verde,Other,,46.54821215965263,NaN
Canada,cayman-islands-george-town,Cayman Islands,George Town,,176.58822647837872,NaN
Canada,central-african-republic-bangui,Central African Republic,Bangui,,106.73566467435498,NaN
Canada,central-african-republic,Central African Republic,Other,,85.38853173948398,NaN
Canada,chad-n'djamena,Chad,N'Djamena,,120.0042346503749,NaN
Canada,chile-santiago,Chile,Santiago,,133.40300146777994,NaN
Canada,chile,Chile,Other,,106.72240117422396,NaN
Canada,china-beijing,China,Beijing,,143.9721934761761,NaN
Canada,china-guangzhou,China,Guangzhou (Canton),,165.67085977865693,NaN
Canada,china-shanghai,China,Shanghai,,153.43322333318196,NaN
Canada,china-shenzhen,China,Shenzhen,,180.89077737470984,NaN
Canada,china,China,Other,,115.17775478094089,NaN
Canada,colombia-bogota,Colombia,Bogotá,,85.59520163422943,NaN
Canada,colombia-cali,Colombia,Cali,,87.2075977898796,NaN
Canada,colombia-cartagena,Colombia,Cartagena,,90.34025317799994,NaN
Canada,colombia-medellin,Colombia,Medellïn,,86.14802317330948,NaN
Canada,colombia,Colombia,Other,,68.47616130738353,NaN
Canada,congo-brazzaville,Congo,Brazzaville,,103.86418814696209,NaN
Canada,congo,Congo,Other,,83.09135051756967,NaN
Canada,congo-democratic-republic-of-kinshasa,"Congo, Democratic Republic of",Kinshasa,,174.5,NaN
Canada,congo-democratic-republic-of,"Congo, Democratic Republic of",Other,,139.6,NaN
Canada,costa-rica-san-jose,Costa Rica,San José,,111.5723711610297,NaN
Canada,costa-rica,Costa Rica,Other,,89.25789692882375,NaN
Canada,cote-d'ivoire-abidjan,Côte d'Ivoire,Abidjan,,169.7907273037594,NaN
Canada,cote-d'ivoire,Côte d'Ivoire,Other,,135.83258184300752,NaN
Canada,croatia-dubrovnik,Croatia,Dubrovnik,,134.74033649999998,NaN
Canada,croatia-zagreb,Croatia,Zagreb,,115.72503359999999,NaN
Canada,croatia,Croatia,Other,,92.58002687999999,NaN
Canada,cuba-havana,Cuba,Havana,,86.86,NaN
Canada,curacao-(kingdom-of-the-netherlands)-willemstad,Curaçao (Kingdom of the Netherlands),Willemstad,,140.58,NaN
Canada,cyprus-nicosia,Cyprus,Nicosia,,139.66331676,NaN
Canada,czech-republic-prague,Czech Republic,Prague,,97.79344678393447,NaN
Canada,czech-republic,Czech Republic,Other,,78.23475742714757,NaN
Canada,denmark-copenhagen,Denmark,Copenhagen,,227.2634782698611,NaN
Canada,denmark,Denmark,Other,,181.8101559760282,NaN
Canada,djibouti,Djibouti,Djibouti,,99.14146219018129,NaN
Canada,dominica-roseau,Dominica,Roseau,,109.53514941429593,NaN
Canada,dominican-republic-santo-domingo,Dominican Republic,Santo Domingo,,96.04049746588123,NaN
