Country - (Currency) Area,First 60 Days US$,First 60 Days Local,>60 Days Local,Room as % of DSA,Effective Date d/mm/y,Survey Date d/mm/y,Notes
Afghanistan (Afghani),,,,,,,
Kabul,162,"11,700","11,700",70,01/08/18,01/04/17,
Kabul (Kabul Serena),290,"20,900","20,900",69,01/08/18,01/04/17,1
Elsewhere,96,"6,920","6,920",70,01/08/18,01/04/17,
Albania (Albania Lek(e)),,,,,,,
Tirana,147,"15,400","11,500",66,01/08/18,01/07/17,
Tirana (Rogner),165,"17,300","13,000",69,01/08/18,01/07/17,1
Tirana (Sheraton),193,"20,200","15,200",54,01/08/18,01/07/17,1
"Durres (Adriatic, Hotel Palace)",200,"21,000","15,700",68,01/08/18,01/07/17,1
Korca (Life Gallery Hotel),116,"12,200","9,120",60,01/08/18,01/07/17,1
"Saranda (Butrinti, Demi Hotel)",139,"14,600","10,900",67,01/08/18,01/07/17,1
Shkodra,133,"13,900","10,500",61,01/08/18,01/07/17,
Vlore,106,"11,100","8,390",53,01/08/18,01/07/17,
Elsewhere,78,"8,180","6,190",50,01/08/18,01/07/17,
Algeria (Algerian Dinar),,,,,,,
Algiers,258,"30,400","22,800",57,01/08/18,01/04/18,
Algiers (El-Aurassi & El-Djazair),311,"36,600","27,500",57,01/08/18,01/04/18,1
Algiers (Sheraton),476,"56,100","42,100",68,01/08/18,01/04/18,1
Algiers (Sofitel),408,"48,000","36,000",58,01/08/18,01/04/18,1
Adrar,171,"20,100","15,100",47,01/08/18,01/04/18,
Annaba (Golden Tulip Sabri),195,"23,000","17,300",59,01/08/18,01/04/18,1
Annaba (Sheraton),272,"32,000","24,000",57,01/08/18,01/04/18,1
Constantine (Marriott),311,"36,600","27,500",63,01/08/18,01/04/18,1
Constantine (Novotel),201,"23,700","17,800",59,01/08/18,01/04/18,1
Oran,156,"18,400","13,800",50,01/08/18,01/04/18,
Oran (Hotel Royal),280,"33,000","24,700",63,01/08/18,01/04/18,1
Oran (Le Meridien),230,"27,100","20,300",58,01/08/18,01/04/18,1
Oran (Sheraton),246,"29,000","21,800",55,01/08/18,01/04/18,1
Setif (Novotel),217,"25,600","19,200",61,01/08/18,01/04/18,1
Tamanrasset,166,"19,500","14,600",51,01/08/18,01/04/18,
Tlemcen (Renaissance),259,"30,500","22,900",57,01/08/18,01/04/18,1
Elsewhere,110,"12,900","9,680",51,01/08/18,01/04/18,
American Samoa (US Dollar),,,,,,,
All Areas,238,238,179,61,01/10/11,01/10/11,
Andorra (Euro),,,,,,,
All Areas,169,144,108,49,01/08/18,01/08/18,
Angola (Kwanza),,,,,,,
Luanda,230,"58,400","43,900",61,01/08/18,01/07/18,
"Luanda (Baia, Skyna, Tropico)",418,"106,000","79,700",70,01/08/18,01/07/18,1
Luanda (Presidente),363,"92,100","69,000",68,01/08/18,01/07/18,1
Cabinda,150,"38,100","28,700",65,01/08/18,01/07/18,
Dundu,158,"40,100","30,200",59,01/08/18,01/07/18,
Huambo,153,"38,800","29,200",55,01/08/18,01/07/18,
Lobito,168,"42,600","32,000",74,01/08/18,01/07/18,
Lubango,134,"34,000","25,600",64,01/08/18,01/07/18,
Malange,154,"39,100","29,400",55,01/08/18,01/07/18,
Ndalatando,139,"35,300","26,400",63,01/08/18,01/07/18,
Uige,125,"31,700","23,900",63,01/08/18,01/07/18,
Elsewhere,122,"31,000","23,300",55,01/08/18,01/07/18,
Anguilla (E.C. Dollar),,,,,,,
All  Areas (15 Dec. - 14 Apr.),610,"1,650","1,240",66,01/10/17,01/10/17,
All Areas  (15 Apr. - 14 Dec.),426,"1,150",860,57,01/10/17,01/10/17,
Antigua and Barbuda (E.C. Dollar),,,,,,,
All  Areas (1 Apr. - 30 Nov.),337,910,680,64,01/10/17,01/10/17,
All  Areas (1 Dec. - 31 Mar.),359,970,730,66,01/10/17,01/10/17,
Argentina (Argentine Peso),,,,,,,
Buenos Aires,229,"6,260","4,710",78,01/08/18,01/01/18,
Bahia Blanca & Mar del Plata,178,"4,870","3,670",75,01/08/18,01/01/18,
Bariloche (Edelweiss),222,"6,070","4,570",78,01/08/18,01/01/18,1
Comodoro Rivadavia,151,"4,130","3,090",71,01/08/18,01/01/18,
Cordoba,131,"3,580","2,680",72,01/08/18,01/01/18,
Formosa,162,"4,430","3,340",62,01/08/18,01/01/18,
La Rioja,124,"3,390","2,540",76,01/08/18,01/01/18,
Mendoza,175,"4,790","3,580",75,01/08/18,01/01/18,
Neuquen,182,"4,980","3,750",76,01/08/18,01/01/18,
Resistencia & Rio Gallegos,143,"3,910","2,930",73,01/08/18,01/01/18,
Salta,156,"4,270","3,200",75,01/08/18,01/01/18,
San Juan & San Salvador de Jujuy,139,"3,800","2,850",72,01/08/18,01/01/18,
Ushuaia,200,"5,470","4,100",72,01/08/18,01/01/18,
Elsewhere,98,"2,680","2,010",68,01/08/18,01/08/18,
Armenia (Armenian Dram),,,,,,,
Yerevan,158,"76,100","57,100",58,01/07/18,01/12/17,
Elsewhere,127,"61,000","45,800",59,01/07/18,01/12/17,
Aruba (N.A. Gulder),,,,,,,
All Areas (15 Apr. - 15 Dec.),295,550,410,55,01/08/18,01/06/17,
All Areas (16 Dec. - 14 Apr.),396,730,550,63,01/08/18,01/06/17,
Australia (AUL Dollar),,,,,,,
"Canberra, Melbourne & Sydney",336,453,340,58,01/08/18,01/02/17,
Elsewhere,225,304,228,58,01/08/18,01/02/17,
Austria (Euro),,,,,,,
All Areas,287,245,184,44,01/08/18,01/09/17,
Azerbaijan ((new)Azerbaijan Manat),,,,,,,
Baku,179,304,227,62,01/08/18,01/09/17,
Baku (Four Seasons),332,560,423,61,01/08/18,01/09/17,1
Baku (JV Absheron Marriott),256,435,326,65,01/08/18,01/09/17,1
Tabriz (Nakhichevan),121,205,154,63,01/08/18,01/09/17,1
Elsewhere,92,156,117,59,01/08/18,01/09/17,
Bahamas (Bahamian Dollar),,,,,,,
All Areas (20 Dec.-20 Apr.),447,447,335,60,01/03/16,01/03/16,
All Areas (21 Apr.-19 Dec.),434,434,326,59,01/03/16,01/03/16,
Bahrain (Bahraini Dinar),,,,,,,
Manama,280,106,80,60,01/08/18,01/05/18,
Manama (Jumeirah Royal Saray & Ritz Carlton),510,193,145,61,01/08/18,01/05/18,1
Manama (Movenpick),325,123,92,54,01/08/18,01/05/18,1
Bangladesh (Bangladesh Taka),,,,,,,
Dhaka,133,"11,200","8,420",64,01/08/18,01/08/18,
"Dhaka (Amari, Pan Pacific Sonargaon)",305,"25,700","19,300",63,01/08/18,01/08/18,1
"Dhaka (Le Meridien, Radisson Water Garden, Westin)",358,"30,200","22,700",60,01/08/18,01/08/18,1
Dhaka (Longbeach Suites),187,"15,800","11,800",58,01/08/18,01/08/18,1
Dhaka (Six Seasons),260,"21,900","16,400",62,01/08/18,01/08/18,1
Dhaka (The Way),218,"18,400","13,800",68,01/08/18,01/08/18,1
Chittagong (Agrabad and Peninsula),150,"12,600","9,520",51,01/08/18,01/08/18,1
Chittagong (Radisson Blu),170,"14,300","10,800",59,01/08/18,01/08/18,1
Cox's Bazaar,93,"7,830","5,900",57,01/08/18,01/08/18,
"Sylhet (Grand Sultan, The Palace)",196,"16,500","12,400",67,01/08/18,01/08/18,1
Sylhet (Nazimgarh Resort),146,"12,300","9,260",65,01/08/18,01/08/18,1
Elsewhere,79,"6,650","6,650",58,01/08/18,01/08/18,
Barbados (Barbados Dollar),,,,,,,
All Areas (16 Apr. - 15 Dec.),425,850,640,52,01/10/17,01/10/17,
All Areas (16 Dec. - 15 Apr.),475,950,710,62,01/10/17,01/10/17,
Belarus (New Belarusian Ruble),,,,,,,
Minsk,249,494,371,51,01/08/18,01/02/18,
Brest,189,375,282,59,01/08/18,01/02/18,
Homiel,148,294,220,53,01/08/18,01/02/18,
Hrodna (Non-residents),195,387,290,58,01/08/18,01/02/18,
Hrodna (Residents),185,367,276,56,01/08/18,01/02/18,
Mahiliou,131,260,195,46,01/08/18,01/02/18,
Viciebsk,118,234,177,50,01/08/18,01/02/18,
Elsewhere,92,183,137,46,01/08/18,01/02/18,
Belgium (Euro),,,,,,,
All Areas,369,315,236,58,01/08/18,01/12/17,
Belize (Belize Dollar),,,,,,,
Belize City,260,520,390,66,01/06/18,01/06/18,
"San Pedro (The Villas at Banyan Bay, Sun Breeze Hotel, Victoria House)",520,"1,030",770,53,01/07/18,01/07/18,1
Elsewhere,214,428,321,57,01/06/18,01/06/18,
Benin (CFA Franc(XOF)),,,,,,,
Cotonou,211,"118,000","88,500",53,01/08/18,01/10/17,
Cotonou (Golden Tulip de Diplomate),325,"182,000","137,000",69,01/08/18,01/10/17,1
Cotonou (La Maison Rouge),278,"156,000","117,000",62,01/08/18,01/10/17,1
Grand Popo,142,"79,500","59,600",39,01/08/18,01/10/17,
Lokossa,122,"68,100","51,100",42,01/08/18,01/10/17,
Malanville,106,"59,500","44,600",49,01/08/18,01/10/17,
Ouidah (Casa Del Papa),186,"104,000","78,000",48,01/08/18,01/10/17,1
Parakou,115,"64,200","48,200",43,01/08/18,01/10/17,
Porto Novo,136,"76,300","57,200",47,01/08/18,01/10/17,
Porto Novo (Les Ambassadeurs),200,"112,000","84,000",54,01/08/18,01/10/17,1
Possotome,156,"87,700","65,800",48,01/08/18,01/10/17,
Elsewhere,102,"57,000","42,800",43,01/08/18,01/10/17,
Bermuda (Bermuda Dollar),,,,,,,
All Areas (1 Dec. - 14 Mar.),459,459,344,72,01/04/10,01/04/10,
All Areas (15 Mar. - 30 Nov.),510,510,383,72,01/04/10,01/04/10,
