"AFGHANISTAN
Kabul",,,,,,Currency:,,USD (unless stated otherwise),,,
Over 5 hours:,,,19.5,,,Room rate:,,72.5,,,
Over 10 hours:,,,41.5,,,Breakfast:,,0 (included in room rate),,,
24 hour rate:,,,53.0 + room rate,,,Lunch:,,16.0,,,
,,,,,,Dinner:,,18.5,,,
,,,,,,Other:,,2.5,,,
,,,,,,Drinks:,,7.0,,,
,,,,,,Hotel to office:,,9.0,,,
,,,,,,Total residual:,,53.0,,,
AFGHANISTAN,,,,,,,,,,,
Elsewhere,,,,,,,,,,,
Actuals + £4 per day,,,,,,,,,,,
ALBANIA,,,,,,Currency:,,ALL (unless stated otherwise),,,
Tirana,,,,,,,,,,,
Over 5 hours:,,,"3,154.5",,,Room rate:,,EUR 120.50,,,
Over 10 hours:,,,"7,536.5",,,Breakfast:,,0 (included in room rate),,,
24 hour rate:,,,"8,919.0 + room rate",,,Lunch:,,"2,925.0",,,
,,,,,,Dinner:,,"4,152.5",,,
,,,,,,Other:,,573.5,,,
,,,,,,Drinks:,,459.0,,,
,,,,,,Hotel to office:,,809.0,,,
,,,,,,Total residual:,,"8,919.0",,,
ALBANIA,,,,,,,,,,,
Elsewhere,,,,,,,,,,,
Actuals + £4 per day,,,,,,,,,,,
ALGERIA,,,,,,Currency:,,DZD (unless stated otherwise),,,
Algiers,,,,,,,,,,,
Over 5 hours:,,,"2,641.5",,,Room rate:,,"23,383.5",,,
Over 10 hours:,,,"7,537.5",,,Breakfast:,,"1,804.0",,,
24 hour rate:,,,"9,973.0 + room rate",,,Lunch:,,"2,383.5",,,
,,,,,,Dinner:,,"4,638.5",,,
,,,,,,Other:,,0,,,
,,,,,,Drinks:,,515.5,,,
,,,,,,Hotel to office:,,631.5,,,
,,,,,,Total residual:,,"9,973.0",,,
ALGERIA,,,,,,,,,,,
Elsewhere,,,,,,,,,,,
Actuals + £4 per day,,,,,,,,,,,
"ANGOLA
Luanda",,,,,,Currency:,,AOA (unless stated otherwise),,,
Over 5 hours:,,,"6,381.5",,,Room rate:,,USD 417.00,,,
Over 10 hours:,,,"17,002.0",,,Breakfast:,,0 (included in room rate),,,
24 hour rate:,,,"18,761.5 + room rate",,,Lunch:,,"5,582.5",,,
,,,,,,Dinner:,,"9,822.0",,,
,,,,,,Other:,,935.0,,,
,,,,,,Drinks:,,"1,597.5",,,
,,,,,,Hotel to office:,,824.5,,,
,,,,,,Total residual:,,"18,761.5",,,
ANGOLA,,,,,,,,,,,
Elsewhere,,,,,,,,,,,
As for Luanda,,,,,,,,,,,
ANGUILLA,,,,,,Currency:,,USD (unless stated otherwise),,,
Anguilla,,,,,,,,,,,
Over 5 hours:,,,39.0,,,Room rate:,,235.5,,,
Over 10 hours:,,,122.0,,,Breakfast:,,15.5,,,
24 hour rate:,,,150.5 + room rate,,,Lunch:,,31.0,,,
,,,,,,Dinner:,,75.5,,,
,,,,,,Other:,,4.0,,,
,,,,,,Drinks:,,15.5,,,
,,,,,,Hotel to office:,,9.0,,,
,,,,,,Total residual:,,150.5,,,
ANGUILLA,,,,,,,,,,,
Elsewhere,,,,,,,,,,,
Actuals + £4 per day,,,,,,,,,,,
,,,,,,,,,,,
ANTIGUA AND BARBUDA                                                                     Currency:         XCD (unless stated otherwise),,,,,,,,,,,
St John's,,,,,,,,,,,
Over 5 hours:,,,113.5,,,Room rate:,,,,USD 200.00,
Over 10 hours:,,,317.0,,,Breakfast:,,,,52.0,
24 hour rate:,,,392.5 + room rate,,,Lunch:,,,,102.5,
,,,,,,Dinner:,,,,192.5,
,,,,,,Other:,,,,0,
,,,,,,Drinks:,,,,22.0,
,,,,,,Hotel to office:,,,,23.5,
,,,,,,Total residual:,,,,392.5,
,,,,,,,,,,,
ANTIGUA AND BARBUDA,,,,,,,,,,,
Elsewhere,,,,,,,,,,,
Actuals + £4 per day,,,,,,,,,,,
"ARGENTINA
Buenos Aires",,,,,,Currency:,,ARS (unless stated otherwise),,,
Over 5 hours:,,,147.0,,,Room rate:,,USD 215.50,,,
Over 10 hours:,,,346.5,,,Breakfast:,,0 (included in room rate),,,
24 hour rate:,,,391.0 + room rate,,,Lunch:,,131.5,,,
,,,,,,Dinner:,,184.5,,,
,,,,,,Other:,,0,,,
,,,,,,Drinks:,,30.5,,,
,,,,,,Hotel to office:,,44.5,,,
,,,,,,Total residual:,,391.0,,,
ARGENTINA,,,,,,,,,,,
Elsewhere,,,,,,,,,,,
Actuals + £4 per day,,,,,,,,,,,
ARMENIA,,,,,,Currency:,,AMD (unless stated otherwise),,,
Yerevan,,,,,,,,,,,
Over 5 hours:,,,"11,649.5",,,Room rate:,,"73,645.0",,,
Over 10 hours:,,,"27,383.0",,,Breakfast:,,0 (included in room rate),,,
24 hour rate:,,,"32,230.5 + room rate",,,Lunch:,,"10,310.5",,,
,,,,,,Dinner:,,"14,394.5",,,
,,,,,,Other:,,"1,607.0",,,
,,,,,,Drinks:,,"2,678.0",,,
,,,,,,Hotel to office:,,"3,240.5",,,
,,,,,,Total residual:,,"32,230.5",,,
ARMENIA,,,,,,,,,,,
Elsewhere,,,,,,,,,,,
