"Country - (Currency)Area","First 60DaysUS$","First 60 DaysLocal",">60 DaysLocal","Roomas %ofDSA","EffectiveDated/mm/y","SurveyDated/mm/y",Notes
Afghanistan (Afghani),,,,,,,
Kabul,162,"11,200","11,200",70,1/2/18,1/4/17,
Kabul (Kabul Serena),290,"20,100","20,100",69,1/2/18,1/4/17,1
Elsewhere,96,"6,660","6,660",70,1/2/18,1/4/17,
Albania (Albania Lek(e)),,,,,,,
Tirana,147,"15,400","11,500",66,1/3/18,1/7/17,
Tirana (Rogner),165,"17,300","13,000",69,1/3/18,1/7/17,1
Tirana (Sheraton),193,"20,200","15,200",54,1/3/18,1/7/17,1
"Durres (Adriatic, Hotel Palace)",200,"20,900","15,700",68,1/3/18,1/7/17,1
Korca (Life Gallery Hotel),116,"12,100","9,110",60,1/3/18,1/7/17,1
"Saranda (Butrinti, Demi Hotel)",139,"14,600","10,900",67,1/3/18,1/7/17,1
Shkodra,133,"13,900","10,500",61,1/3/18,1/7/17,
Vlore,106,"11,100","8,380",53,1/3/18,1/7/17,
Elsewhere,78,"8,170","6,180",50,1/3/18,1/7/17,
Algeria (Algerian Dinar),,,,,,,
Algiers,211,"24,100","18,100",59,1/3/18,1/9/16,
"Algiers (El-Aurassi, El-Djazair, Mercure)",356,"40,700","30,500",59,1/3/18,1/9/16,1
"Algiers (Hilton, Sheraton)",456,"52,100","39,100",70,1/3/18,1/9/16,1
Algiers (Sofitel),420,"48,000","36,000",63,1/3/18,1/9/16,1
Adrar,176,"20,100","15,100",47,1/3/18,1/5/15,
Annaba (Golden Tulip Sabri),201,"23,000","17,300",54,1/3/18,1/9/16,1
Annaba (Sheraton),425,"48,500","36,400",62,1/3/18,1/4/17,1
Constantine (Marriott),321,"36,600","27,500",63,1/3/18,1/4/17,1
Constantine (Novotel),208,"23,700","17,800",57,1/3/18,1/9/16,1
Oran,178,"20,300","15,200",55,1/3/18,1/9/16,
Oran (Hotel Royal),307,"35,100","26,300",67,1/3/18,1/9/16,1
Oran (Le Meridien),333,"38,000","28,500",68,1/3/18,1/9/16,1
Oran (Sheraton),281,"32,100","24,100",62,1/3/18,1/9/16,1
Setif (Novotel),262,"29,900","22,400",60,1/3/18,1/4/17,1
Tamanrasset,159,"18,100","13,600",51,1/3/18,1/9/16,
Elsewhere,171,"19,500","14,600",51,1/3/18,1/4/17,
American Samoa (US Dollar),,,,,,,
All Areas,238,238,179,61,1/10/11,1/10/11,
Angola (Kwanza),,,,,,,11
Luanda,400,"81,700","61,300",59,1/2/18,1/2/17,
"Luanda (Baia, Presidente, Tropico)",455,"92,900","69,700",70,1/2/18,1/2/17,1
Luanda (Skyna),530,"108,000","81,300",72,1/2/18,1/2/17,1
Benguela,200,"40,900","30,600",48,1/2/18,1/2/17,
Cabinda,251,"51,300","38,400",70,1/2/18,1/2/17,
Dundu,262,"53,500","40,200",58,1/2/18,1/2/17,
Huambo,175,"35,700","26,800",53,1/2/18,1/2/17,
Lobito,272,"55,600","41,700",56,1/2/18,1/2/17,
Lubango,190,"38,800","29,200",68,1/2/18,1/2/17,
Luena,175,"35,700","26,800",60,1/2/18,1/2/17,
Malange,185,"37,800","28,400",59,1/2/18,1/2/17,
Ndalatando,178,"36,400","27,400",54,1/2/18,1/2/17,
Uige,175,"35,700","26,800",60,1/2/18,1/2/17,
Elsewhere,159,"32,500","24,300",60,1/2/18,1/2/17,
Anguilla (E.C. Dollar),,,,,,,
All Areas (15 Dec. - 14 Apr.),610,"1,650","1,240",66,1/10/17,1/10/17,
All Areas  (15 Apr. - 14 Dec.),426,"1,150",860,57,1/10/17,1/10/17,
Antigua and Barbuda (E.C. Dollar),,,,,,,
All Areas (1 Apr. - 30 Nov.),337,910,680,64,1/10/17,1/10/17,
All Areas (1 Dec. - 31 Mar.),359,970,730,66,1/10/17,1/10/17,
Argentina (Argentine Peso),,,,,,,
Buenos Aires,229,"4,620","3,470",78,1/3/18,1/1/18,
Bahia Blanca & Mar del Plata,178,"3,590","2,700",75,1/3/18,1/1/18,
Bariloche (Edelweiss),222,"4,470","3,370",78,1/3/18,1/1/18,1
Comodoro Rivadavia,151,"3,040","2,280",71,1/3/18,1/1/18,
Cordoba,131,"2,640","1,980",72,1/3/18,1/1/18,
Formosa,162,"3,270","2,460",62,1/3/18,1/1/18,
La Rioja,124,"2,500","1,870",76,1/3/18,1/1/18,
Mendoza,175,"3,530","2,640",75,1/3/18,1/1/18,
Neuquen,182,"3,670","2,760",76,1/3/18,1/1/18,
Resistencia & Rio Gallegos,143,"2,880","2,160",73,1/3/18,1/1/18,
Salta,156,"3,140","2,360",75,1/3/18,1/1/18,
San Juan & San Salvador de Jujuy,139,"2,800","2,100",72,1/3/18,1/1/18,
Ushuaia,200,"4,030","3,020",72,1/3/18,1/1/18,
Elsewhere,108,"2,180","1,630",69,1/3/18,1/1/18,
Armenia (Armenian Dram),,,,,,,
Yerevan,158,"76,100","57,100",58,1/3/18,1/12/17,
Elsewhere,127,"61,000","45,800",59,1/3/18,1/12/17,
Aruba (N.A. Gulder),,,,,,,
All Areas (15 Apr. - 15 Dec.),295,530,396,55,1/9/17,1/6/17,
All Areas (16 Dec. - 14 Apr.),396,710,530,63,1/9/17,1/6/17,
Australia (AUL Dollar),,,,,,,
"Canberra, Melbourne & Sydney",354,453,340,58,1/3/18,1/2/17,
Elsewhere,238,304,228,58,1/3/18,1/2/17,
Austria (Euro),,,,,,,
All Areas,301,245,184,44,1/3/18,1/9/17,
Azerbaijan ((new)Azerbaijan Manat),,,,,,,
Baku,179,304,228,62,1/3/18,1/9/17,
